id, label, timepoint, x, y, z, radius, parent_id,cell fate
15091,15092,0, 319.0, 415.0, 70.0, 10.0,-1,
15171,15172,0, 398.0, 415.0, 70.0, 10.0,-1,
15204,15205,0, 457.0, 417.0, 70.0, 10.0,-1,
15365,15366,0, 412.0, 422.0, 70.0, 10.0,-1,
15429,15430,0, 448.0, 432.0, 70.0, 10.0,-1,
15459,15460,0, 286.0, 449.0, 70.0, 10.0,-1,
15471,15472,0, 260.0, 450.0, 70.0, 10.0,-1,
15508,15509,0, 499.0, 452.0, 70.0, 10.0,-1,
15525,15526,0, 318.0, 460.0, 70.0, 10.0,-1,
15573,15574,0, 527.0, 272.0, 75.0, 10.0,-1,
16022,16023,0, 388.0, 274.0, 75.0, 10.0,-1,
16032,16033,0, 424.0, 274.0, 75.0, 10.0,-1,
16123,16124,0, 492.0, 276.0, 75.0, 10.0,-1,
16274,16275,0, 471.0, 279.0, 75.0, 10.0,-1,
16569,16570,0, 378.0, 283.0, 75.0, 10.0,-1,
16721,16722,0, 512.0, 283.0, 75.0, 10.0,-1,
16776,16777,0, 320.0, 284.0, 75.0, 10.0,-1,
17186,17187,0, 535.0, 286.0, 75.0, 10.0,-1,
17370,17371,0, 341.0, 287.0, 75.0, 10.0,-1,
17665,17666,0, 414.0, 287.0, 75.0, 10.0,-1,
17859,17860,0, 296.0, 293.0, 75.0, 10.0,-1,
18242,18243,0, 550.0, 297.0, 75.0, 10.0,-1,
18636,18637,0, 312.0, 298.0, 75.0, 10.0,-1,
18775,18776,0, 282.0, 304.0, 75.0, 10.0,-1,
18803,18804,0, 563.0, 308.0, 75.0, 10.0,-1,
18839,18840,0, 580.0, 316.0, 75.0, 10.0,-1,
18915,18916,0, 249.0, 323.0, 75.0, 10.0,-1,
19127,19128,0, 400.0, 324.0, 75.0, 10.0,-1,
19141,19142,0, 567.0, 329.0, 75.0, 10.0,-1,
19200,19201,0, 238.0, 343.0, 75.0, 10.0,-1,
19401,19402,0, 593.0, 354.0, 75.0, 10.0,-1,
19507,19508,0, 217.0, 356.0, 75.0, 10.0,-1,
19605,19606,0, 442.0, 368.0, 75.0, 10.0,-1,
19727,19728,0, 221.0, 374.0, 75.0, 10.0,-1,
19808,19809,0, 244.0, 379.0, 75.0, 10.0,-1,
19970,19971,0, 580.0, 382.0, 75.0, 10.0,-1,
20069,20070,0, 233.0, 398.0, 75.0, 10.0,-1,
20164,20165,0, 516.0, 405.0, 75.0, 10.0,-1,
20192,20193,0, 258.0, 406.0, 75.0, 10.0,-1,
20279,20280,0, 533.0, 407.0, 75.0, 10.0,-1,
20364,20365,0, 277.0, 412.0, 75.0, 10.0,-1,
20381,20382,0, 503.0, 418.0, 75.0, 10.0,-1,
20449,20450,0, 427.0, 422.0, 75.0, 10.0,-1,
20488,20489,0, 357.0, 424.0, 75.0, 10.0,-1,
20529,20530,0, 290.0, 425.0, 75.0, 10.0,-1,
20620,20621,0, 378.0, 430.0, 75.0, 10.0,-1,
20655,20656,0, 400.0, 430.0, 75.0, 10.0,-1,
20790,20791,0, 465.0, 432.0, 75.0, 10.0,-1,
20916,20917,0, 350.0, 435.0, 75.0, 10.0,-1,
21054,21055,0, 427.0, 436.0, 75.0, 10.0,-1,
21608,21609,0, 424.0, 258.0, 80.0, 10.0,-1,
21867,21868,0, 439.0, 261.0, 80.0, 10.0,-1,
22088,22089,0, 474.0, 263.0, 80.0, 10.0,-1,
22236,22237,0, 373.0, 267.0, 80.0, 10.0,-1,
22446,22447,0, 455.0, 267.0, 80.0, 10.0,-1,
22469,22470,0, 510.0, 270.0, 80.0, 10.0,-1,
22558,22559,0, 545.0, 270.0, 80.0, 10.0,-1,
22939,22940,0, 330.0, 273.0, 80.0, 10.0,-1,
23047,23048,0, 405.0, 274.0, 80.0, 10.0,-1,
23292,23293,0, 558.0, 280.0, 80.0, 10.0,-1,
23518,23519,0, 570.0, 295.0, 80.0, 10.0,-1,
23667,23668,0, 258.0, 302.0, 80.0, 10.0,-1,
23864,23865,0, 610.0, 314.0, 80.0, 10.0,-1,
23904,23905,0, 592.0, 317.0, 80.0, 10.0,-1,
23962,23963,0, 214.0, 334.0, 80.0, 10.0,-1,
24341,24342,0, 585.0, 334.0, 80.0, 10.0,-1,
24453,24454,0, 602.0, 335.0, 80.0, 10.0,-1,
24503,24504,0, 620.0, 355.0, 80.0, 10.0,-1,
24569,24570,0, 606.0, 357.0, 80.0, 10.0,-1,
24601,24602,0, 694.0, 368.0, 80.0, 10.0,-1,
24636,24637,0, 561.0, 383.0, 80.0, 10.0,-1,
24662,24663,0, 679.0, 383.0, 80.0, 10.0,-1,
24669,24670,0, 596.0, 388.0, 80.0, 10.0,-1,
24713,24714,0, 669.0, 395.0, 80.0, 10.0,-1,
24743,24744,0, 654.0, 404.0, 80.0, 10.0,-1,
24828,24829,0, 237.0, 417.0, 80.0, 10.0,-1,
24863,24864,0, 630.0, 419.0, 80.0, 10.0,-1,
24910,24911,0, 480.0, 423.0, 80.0, 10.0,-1,
25077,25078,0, 256.0, 425.0, 80.0, 10.0,-1,
25229,25230,0, 331.0, 427.0, 80.0, 10.0,-1,
25266,25267,0, 616.0, 428.0, 80.0, 10.0,-1,
25306,25307,0, 306.0, 431.0, 80.0, 10.0,-1,
25365,25366,0, 274.0, 432.0, 80.0, 10.0,-1,
25643,25644,0, 492.0, 432.0, 80.0, 10.0,-1,
25681,25682,0, 596.0, 436.0, 80.0, 10.0,-1,
25688,25689,0, 190.0, 439.0, 80.0, 10.0,-1,
25729,25730,0, 412.0, 439.0, 80.0, 10.0,-1,
25746,25747,0, 368.0, 441.0, 80.0, 10.0,-1,
25801,25802,0, 395.0, 444.0, 80.0, 10.0,-1,
25867,25868,0, 577.0, 448.0, 80.0, 10.0,-1,
25870,25871,0, 215.0, 457.0, 80.0, 10.0,-1,
25892,25893,0, 485.0, 466.0, 80.0, 10.0,-1,
25921,25922,0, 526.0, 466.0, 80.0, 10.0,-1,
25940,25941,0, 503.0, 468.0, 80.0, 10.0,-1,
25960,25961,0, 319.0, 475.0, 80.0, 10.0,-1,
25987,25988,0, 463.0, 476.0, 80.0, 10.0,-1,
26037,26038,0, 505.0, 254.0, 85.0, 10.0,-1,
26578,26579,0, 463.0, 255.0, 85.0, 10.0,-1,
26759,26760,0, 356.0, 257.0, 85.0, 10.0,-1,
26849,26850,0, 388.0, 261.0, 85.0, 10.0,-1,
27305,27306,0, 408.0, 261.0, 85.0, 10.0,-1,
27564,27565,0, 314.0, 263.0, 85.0, 10.0,-1,
28072,28073,0, 492.0, 263.0, 85.0, 10.0,-1,
28122,28123,0, 566.0, 267.0, 85.0, 10.0,-1,
28500,28501,0, 354.0, 272.0, 85.0, 10.0,-1,
29211,29212,0, 576.0, 278.0, 85.0, 10.0,-1,
29270,29271,0, 305.0, 279.0, 85.0, 10.0,-1,
29747,29748,0, 593.0, 280.0, 85.0, 10.0,-1,
29775,29776,0, 287.0, 282.0, 85.0, 10.0,-1,
30003,30004,0, 609.0, 288.0, 85.0, 10.0,-1,
30138,30139,0, 270.0, 292.0, 85.0, 10.0,-1,
30184,30185,0, 585.0, 295.0, 85.0, 10.0,-1,
30225,30226,0, 626.0, 303.0, 85.0, 10.0,-1,
30310,30311,0, 239.0, 311.0, 85.0, 10.0,-1,
30475,30476,0, 624.0, 320.0, 85.0, 10.0,-1,
30567,30568,0, 232.0, 327.0, 85.0, 10.0,-1,
31120,31121,0, 198.0, 349.0, 85.0, 10.0,-1,
31636,31637,0, 184.0, 363.0, 85.0, 10.0,-1,
32047,32048,0, 204.0, 371.0, 85.0, 10.0,-1,
32083,32084,0, 588.0, 371.0, 85.0, 10.0,-1,
32121,32122,0, 211.0, 390.0, 85.0, 10.0,-1,
32298,32299,0, 574.0, 397.0, 85.0, 10.0,-1,
32364,32365,0, 561.0, 404.0, 85.0, 10.0,-1,
32425,32426,0, 547.0, 406.0, 85.0, 10.0,-1,
32503,32504,0, 216.0, 407.0, 85.0, 10.0,-1,
32662,32663,0, 157.0, 420.0, 85.0, 10.0,-1,
32674,32675,0, 519.0, 420.0, 85.0, 10.0,-1,
32839,32840,0, 510.0, 435.0, 85.0, 10.0,-1,
32935,32936,0, 322.0, 437.0, 85.0, 10.0,-1,
33251,33252,0, 480.0, 443.0, 85.0, 10.0,-1,
33464,33465,0, 337.0, 445.0, 85.0, 10.0,-1,
33533,33534,0, 382.0, 445.0, 85.0, 10.0,-1,
33620,33621,0, 463.0, 445.0, 85.0, 10.0,-1,
33683,33684,0, 305.0, 446.0, 85.0, 10.0,-1,
33877,33878,0, 444.0, 446.0, 85.0, 10.0,-1,
34057,34058,0, 427.0, 448.0, 85.0, 10.0,-1,
34114,34115,0, 360.0, 452.0, 85.0, 10.0,-1,
34498,34499,0, 280.0, 470.0, 85.0, 10.0,-1,
34788,34789,0, 333.0, 489.0, 85.0, 10.0,-1,
34794,34795,0, 522.0, 243.0, 90.0, 10.0,-1,
34894,34895,0, 432.0, 246.0, 90.0, 10.0,-1,
35135,35136,0, 414.0, 247.0, 90.0, 10.0,-1,
35437,35438,0, 450.0, 249.0, 90.0, 10.0,-1,
35484,35485,0, 480.0, 249.0, 90.0, 10.0,-1,
35669,35670,0, 394.0, 250.0, 90.0, 10.0,-1,
35977,35978,0, 374.0, 254.0, 90.0, 10.0,-1,
36191,36192,0, 551.0, 255.0, 90.0, 10.0,-1,
36371,36372,0, 532.0, 260.0, 90.0, 10.0,-1,
36701,36702,0, 338.0, 262.0, 90.0, 10.0,-1,
36988,36989,0, 238.0, 296.0, 90.0, 10.0,-1,
37230,37231,0, 602.0, 303.0, 90.0, 10.0,-1,
37302,37303,0, 220.0, 307.0, 90.0, 10.0,-1,
37541,37542,0, 634.0, 332.0, 90.0, 10.0,-1,
37631,37632,0, 195.0, 333.0, 90.0, 10.0,-1,
37827,37828,0, 617.0, 335.0, 90.0, 10.0,-1,
37860,37861,0, 651.0, 345.0, 90.0, 10.0,-1,
37916,37917,0, 634.0, 352.0, 90.0, 10.0,-1,
37960,37961,0, 191.0, 384.0, 90.0, 10.0,-1,
38152,38153,0, 607.0, 395.0, 90.0, 10.0,-1,
38183,38184,0, 194.0, 402.0, 90.0, 10.0,-1,
38271,38272,0, 323.0, 409.0, 90.0, 10.0,-1,
38616,38617,0, 571.0, 415.0, 90.0, 10.0,-1,
38835,38836,0, 554.0, 422.0, 90.0, 10.0,-1,
39119,39120,0, 537.0, 424.0, 90.0, 10.0,-1,
39151,39152,0, 242.0, 436.0, 90.0, 10.0,-1,
39442,39443,0, 523.0, 436.0, 90.0, 10.0,-1,
39706,39707,0, 261.0, 445.0, 90.0, 10.0,-1,
40140,40141,0, 497.0, 446.0, 90.0, 10.0,-1,
40361,40362,0, 400.0, 454.0, 90.0, 10.0,-1,
40511,40512,0, 414.0, 454.0, 90.0, 10.0,-1,
40675,40676,0, 348.0, 458.0, 90.0, 10.0,-1,
40880,40881,0, 438.0, 458.0, 90.0, 10.0,-1,
41082,41083,0, 377.0, 459.0, 90.0, 10.0,-1,
41086,41087,0, 196.0, 460.0, 90.0, 10.0,-1,
41095,41096,0, 235.0, 468.0, 90.0, 10.0,-1,
41117,41118,0, 256.0, 471.0, 90.0, 10.0,-1,
41141,41142,0, 298.0, 479.0, 90.0, 10.0,-1,
41198,41199,0, 357.0, 492.0, 90.0, 10.0,-1,
41692,41693,0, 488.0, 234.0, 95.0, 10.0,-1,
42183,42184,0, 372.0, 240.0, 95.0, 10.0,-1,
42306,42307,0, 537.0, 240.0, 95.0, 10.0,-1,
42545,42546,0, 464.0, 241.0, 95.0, 10.0,-1,
42782,42783,0, 356.0, 245.0, 95.0, 10.0,-1,
42950,42951,0, 335.0, 246.0, 95.0, 10.0,-1,
43306,43307,0, 496.0, 247.0, 95.0, 10.0,-1,
43724,43725,0, 318.0, 252.0, 95.0, 10.0,-1,
44078,44079,0, 565.0, 253.0, 95.0, 10.0,-1,
44134,44135,0, 583.0, 255.0, 95.0, 10.0,-1,
44290,44291,0, 519.0, 262.0, 95.0, 10.0,-1,
44317,44318,0, 593.0, 266.0, 95.0, 10.0,-1,
44463,44464,0, 628.0, 271.0, 95.0, 10.0,-1,
44497,44498,0, 277.0, 275.0, 95.0, 10.0,-1,
44640,44641,0, 258.0, 283.0, 95.0, 10.0,-1,
44666,44667,0, 621.0, 291.0, 95.0, 10.0,-1,
44732,44733,0, 643.0, 294.0, 95.0, 10.0,-1,
44779,44780,0, 638.0, 313.0, 95.0, 10.0,-1,
44854,44855,0, 205.0, 314.0, 95.0, 10.0,-1,
45043,45044,0, 654.0, 316.0, 95.0, 10.0,-1,
45127,45128,0, 667.0, 324.0, 95.0, 10.0,-1,
45184,45185,0, 652.0, 331.0, 95.0, 10.0,-1,
45188,45189,0, 176.0, 339.0, 95.0, 10.0,-1,
46077,46078,0, 168.0, 356.0, 95.0, 10.0,-1,
46100,46101,0, 642.0, 366.0, 95.0, 10.0,-1,
46189,46190,0, 625.0, 370.0, 95.0, 10.0,-1,
46227,46228,0, 546.0, 374.0, 95.0, 10.0,-1,
46278,46279,0, 171.0, 377.0, 95.0, 10.0,-1,
46449,46450,0, 577.0, 379.0, 95.0, 10.0,-1,
46473,46474,0, 617.0, 384.0, 95.0, 10.0,-1,
46559,46560,0, 635.0, 384.0, 95.0, 10.0,-1,
46838,46839,0, 172.0, 398.0, 95.0, 10.0,-1,
46953,46954,0, 589.0, 404.0, 95.0, 10.0,-1,
47126,47127,0, 200.0, 418.0, 95.0, 10.0,-1,
47205,47206,0, 223.0, 424.0, 95.0, 10.0,-1,
47338,47339,0, 309.0, 427.0, 95.0, 10.0,-1,
47379,47380,0, 286.0, 445.0, 95.0, 10.0,-1,
47552,47553,0, 514.0, 451.0, 95.0, 10.0,-1,
